name,loc,suite
phpdbg,3248575,
php,3201237,
sqlite3,264082,
vsftpd,18548,
php-cgi,3187973,
brotli,169484,
thttpd,10440,
luac,54074,
curl,12450,
lua,64522,
bftpd,11023,
tmux,164539,
mv,26609,coreutils
sync,5460,coreutils
fmt,7272,coreutils
echo,5403,coreutils
hostid,5105,coreutils
cksum,32910,coreutils
uname,5220,coreutils
sort,25645,coreutils
ginstall,24237,coreutils
chgrp,14350,coreutils
sha256sum,7272,coreutils
cat,6523,coreutils
head,7927,coreutils
tac,6634,coreutils
tail,15247,coreutils
base32,7275,coreutils
split,10954,coreutils
touch,18108,coreutils
kill,5859,coreutils
nl,6377,coreutils
yes,5364,coreutils
fold,6069,coreutils
groups,5815,coreutils
sha1sum,7180,coreutils
comm,6757,coreutils
logname,5110,coreutils
nohup,5927,coreutils
id,7481,coreutils
pinky,6281,coreutils
pwd,5679,coreutils
join,9195,coreutils
vdir,29669,coreutils
dircolors,6961,coreutils
mknod,6716,coreutils
cut,7149,coreutils
getlimits,5903,coreutils
readlink,8806,coreutils
timeout,6331,coreutils
true,4958,coreutils
mkfifo,5984,coreutils
paste,5785,coreutils
ls,29669,coreutils
od,10706,coreutils
env,7053,coreutils
printenv,5135,coreutils
wc,9519,coreutils
tsort,6483,coreutils
df,16927,coreutils
csplit,8993,coreutils
pr,15849,coreutils
false,4958,coreutils
nproc,5888,coreutils
who,6424,coreutils
tee,6600,coreutils
link,5157,coreutils
factor,14483,coreutils
b2sum,15640,coreutils
tty,5030,coreutils
realpath,9241,coreutils
sum,9148,coreutils
chmod,13959,coreutils
stdbuf,6615,coreutils
seq,6852,coreutils
du,24867,coreutils
make-prime-list,491,coreutils
sleep,5697,coreutils
mkdir,7878,coreutils
expand,5892,coreutils
libstdbuf.so,146,coreutils
chcon,14367,coreutils
unexpand,6021,coreutils
uptime,10121,coreutils
cp,21842,coreutils
numfmt,10148,coreutils
truncate,6279,coreutils
users,5446,coreutils
test,7841,coreutils
shuf,12107,coreutils
stty,9657,coreutils
nice,5715,coreutils
uniq,7194,coreutils
printf,7120,coreutils
base64,7078,coreutils
sha384sum,7272,coreutils
shred,11720,coreutils
basenc,9946,coreutils
ln,13036,coreutils
dd,12171,coreutils
dirname,5232,coreutils
[,8285,coreutils
pathchk,5526,coreutils
runcon,5293,coreutils
mktemp,6030,coreutils
tr,9137,coreutils
date,21421,coreutils
chown,14782,coreutils
chroot,7578,coreutils
unlink,5129,coreutils
md5sum,7180,coreutils
sha224sum,7272,coreutils
expr,8066,coreutils
rm,14736,coreutils
stat,16126,coreutils
ptx,13284,coreutils
whoami,5137,coreutils
rmdir,5563,coreutils
dir,29669,coreutils
sha512sum,7272,coreutils
basename,5378,coreutils
